实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Zhonghang Electronic Measuring Instruments Company Limited,组织,US-NS-CMIC,制裁,"别名: ZEMIC; Zhonghang Electronic Measuring Instruments Co., Ltd; AVIC ZEMIC",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32153,us_ofac_cons,2026-06-19
Daoud ABU SEIR,个人,US-NS-PLC,制裁,别名: Da'oud Kamal Da'oud ABU SAIR,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9677,us_ofac_cons,2026-06-19
Mohammed AL-TAL,个人,US-NS-PLC,制裁,别名: Mohammad Ismail AL-TAL,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9676,us_ofac_cons,2026-06-19
KONTSERN SIRIUS OAO,组织,US-SSI,制裁,别名: CONCERN SIRIUS JOINT STOCK COMPANY; JSC SIRIUS,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18783,us_ofac_cons,2026-06-19
Samir AL-QADI,个人,US-NS-PLC,制裁,别名: Sameer Saleh AL-QADI,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9672,us_ofac_cons,2026-06-19
China Shipbuilding Industry Group Power,组织,US-NS-CMIC,制裁,别名: China Shipbuilding Industry Group Power; China Shipbuilding Industry Group Power Co Ltd; CSIC Power,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32106,us_ofac_cons,2026-06-19
"NIIGAZEKONOMIKA, OOO",组织,US-SSI,制裁,别名: NIIGAZECONOMIKA; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NAUCHNOISSLEDOVATELSKI INSTITUT EKONOMIKI I ORGANIZATSII UPRAVLENIYA V GAZOVOIPROMYSHLENNOSTI',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19470,us_ofac_cons,2026-06-19
Samira Abdullah HALAYQAH,个人,US-NS-PLC,制裁,别名: Sameera Abed Allah HALAYQA,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9663,us_ofac_cons,2026-06-19
"NOVATEK-TARKOSALENEFTEGAZ, OOO",组织,US-SSI,制裁,别名: OOO NOVATEK-TARKOSALENEFTGAS; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK-TARKOSALENEFTEGAZ',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20677,us_ofac_cons,2026-06-19
Ahmad Ali AHMAD,个人,US-NS-PLC,制裁,别名: Ahmad Ali Ahmad AHMAD,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9681,us_ofac_cons,2026-06-19
