实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
China Telecommunications Corporation,组织,US-NS-CMIC,制裁,"别名: China Telecom Group Co., Ltd.; China Telecom",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30939,us_ofac_cons,2026-06-19
"GIPROTRUBOPROVOD, AO",组织,US-SSI,制裁,别名: AKTSIONERNOE OBSHCHESTVO 'INSTITUT PO PROEKTIROVANIYU MAGISTRALNYKH TRUBOPROVODOV'; OPEN JOINT-STOCK COMPANY 'INSTITUTE ON PLANNING OF OIL TRUNK PIPELINES'; OJSC 'GIPROTRUBOPROVOD',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22392,us_ofac_cons,2026-06-19
JOINT STOCK COMPANY SBERBANK PRIVATE PENSION FUND,组织,US-SSI,制裁,别名: ZAKRYTOE AKTSIONERNOE OBSHCHESTVO NEGOSUDARSTVENNY PENSIONNY FOND SBERBANKA; SBERBANK PRIVATE PENSION FUND CLOSED JOINT STOCK COMPANY; Sberbank PPF JSC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18749,us_ofac_cons,2026-06-19
"Guizhou Liyuan Hydraulic Components Co., Ltd.",组织,US-NS-CMIC,制裁,"别名: AVIC Heavy Machinery Co., Ltd.",cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32053,us_ofac_cons,2026-06-19
Khalil Musa RABAI,个人,US-NS-PLC,制裁,别名: Khalil Mussa RABBAI,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9644,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO VNESHNEEKONOMICHESKOE OBEDINENIE STANKOIMPORT,组织,US-SSI,制裁,别名: OPEN JOINT-STOCK COMPANY FOREIGN TRADE ENTERPRISE STANKOIMPORT; STANKOIMPORT FOREIGN TRADE ASSOCIATION OPEN JOINT STOCK COMPANY; VO STANKOIMPORT OJSC,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18809,us_ofac_cons,2026-06-19
"EYANSKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'EYANSKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'EYANSKI ELEVATOR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20667,us_ofac_cons,2026-06-19
RT-METALLURGIYA OAO,组织,US-SSI,制裁,别名: RT-METALLURGY OPEN JOINT STOCK COMPANY; OPEN JOINT-STOCK COMPANY RT-METALLURGIYA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18790,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ VOLGOGRAD, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ VOLGOGRAD'; GAZPROM TRANSGAZ VOLGOGRAD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19646,us_ofac_cons,2026-06-19
Central Bank of the Russian Federation,组织,US-NS-MBS,制裁,别名: Tsentralny Bank Rossiskoi Federatsii; Central Bank of Russia; Bank of Russia,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=31695,us_ofac_cons,2026-06-19
"TERNEFTEGAZ, ZAO",组织,US-SSI,制裁,别名: ZAO Terneftgas,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20686,us_ofac_cons,2026-06-19
SOVKHOZ CHERVISHEVSKI PAO,组织,US-SSI,制裁,"别名: OPEN JOINT STOCK COMPANY SOVKHOZ CHERVISHEVSKY; OJSC SOVKHOZ CHERVISHEVSKY; SOVKHOZ CHERVISHEVSKY, JSC",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23566,us_ofac_cons,2026-06-19
Abdul Rahman AL-JAMAL,个人,US-NS-PLC,制裁,别名: Abdel Al-Rahman Yusef AL-JAMAL,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9701,us_ofac_cons,2026-06-19
SME BANK,组织,US-SSI,制裁,别名: AKTSIONERNOE OBSHCHESTVO ROSSISKI BANK PODDERZHKI MALOGO I SREDNEGO PREDPRINIMATELSTVA; MSP BANK AO; JSC RUSSIAN BANK FOR SMALL AND MEDIUM ENTERPRISES SUPPORT,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18283,us_ofac_cons,2026-06-19
Presidency of Defense Industries,组织,US-NS-MBS,制裁,别名: Defense Industries Presidency,tr,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=27016,us_ofac_cons,2026-06-19
OJSC SYZRAN REFINERY,组织,US-SSI,制裁,别名: SYZRAN REFINERY; OPEN JOINT-STOCK OIL AND GAS COMPANY SYZRAN,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18290,us_ofac_cons,2026-06-19
LUKOIL OAO,组织,US-SSI,制裁,别名: Lukoil Oil Company; ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО НЕФТЯНАЯ КОМПАНИЯ ЛУКОЙЛ; Neftyanaya Kompaniya Lukoil OOO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17248,us_ofac_cons,2026-06-19
"China Mobile Communications Group Co., Ltd.",组织,US-NS-CMIC,制裁,别名: China Mobile,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30944,us_ofac_cons,2026-06-19
Mohammed Jamal NU'MAN ALAEDDIN,个人,US-NS-PLC,制裁,别名: Mohammed AL NATSHEH; Mohamad Nouman ALA AL DIN,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9642,us_ofac_cons,2026-06-19
KINEF OOO,组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY PRODUCTION ASSOCIATION KIRISHINEFTEORGSINTEZ; LLC KINEF; KINEF,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23568,us_ofac_cons,2026-06-19
Limited Liability Company Active Business Consult,组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY ACTIVEBUSINESSCOLLECTION; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU AKTIVBIZNESKOLLEKSHN; LLC ACTIVEBUSINESSCOLLECTION,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18748,us_ofac_cons,2026-06-19
VTB BANK AZERBAIJAN OPEN JOINT STOCK COMPANY,组织,US-SSI,制裁,别名: JSC VTB BANK AZERBAIJAN; BANK VTB AZERBAIJAN OJSC,az,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18724,us_ofac_cons,2026-06-19
"TRANSNEFT-PRIVOLGA, AO",组织,US-SSI,制裁,别名: JSC PRIVOLZHSKNEFTEPROVOD; OPEN JOINT-STOCK COMPANY 'PRIVOLZHSK OIL TRUNK PIPELINES'; AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT-PRIVOLGA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22385,us_ofac_cons,2026-06-19
"GAZPROM DOBYCHA NADYM, OOO",组织,US-SSI,制裁,别名: GAZPROM DOBYCHA NADYM; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM DOBYCHA NADYM',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19544,us_ofac_cons,2026-06-19
Sayyed Salem ABU MSAMEH,个人,US-NS-PLC,制裁,别名: Sayed Salem ABU MUSAMEH,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9661,us_ofac_cons,2026-06-19
OJSC NOVOKUYBYSHEV REFINERY,组织,US-SSI,制裁,别名: OJSC Novokuybyshev Refinery; NOVOKUIBYSHEVSK REFINERY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18282,us_ofac_cons,2026-06-19
"GAZPROM MEZHREGIONGAZ, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM MEZHREGIONGAZ'; GAZPROM MEZHREGIONGAZ,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19546,us_ofac_cons,2026-06-19
Nanjing Panda Electronics Company Limited,组织,US-NS-CMIC,制裁,别名: Nanjing Panda Electronic Co. Ltd.; Nanjing Panda Electr. Co. Ltd.; Nanjing Panda,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32128,us_ofac_cons,2026-06-19
VTB BANK ARMENIA CLOSED JOINT STOCK COMPANY,组织,US-SSI,制裁,别名: VTB Bank Armenia CJSC,am,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18722,us_ofac_cons,2026-06-19
Mahmoud Ahmad AL-RAMAHI,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9646,us_ofac_cons,2026-06-19
GPB INTERNATIONAL SA,组织,US-SSI,制裁,,lu,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20317,us_ofac_cons,2026-06-19
"LAZURNAYA, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'LAZURNAYA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19685,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ TOMSK, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ TOMSK'; GAZPROM TRANSGAZ TOMSK,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19647,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ KAZAN, OOO",组织,US-SSI,制裁,别名: GAZPROM TRANSGAZ KAZAN; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ KAZAN',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19633,us_ofac_cons,2026-06-19
LIMITED LIABILITY COMPANY VTB DC,组织,US-SSI,制裁,别名: LLC VTB DC; VTB DC Limited; VTB DC LTD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18731,us_ofac_cons,2026-06-19
China Railway Construction Corporation Limited,组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30959,us_ofac_cons,2026-06-19
DEVELOPMENT CORPORATION OF NORTH CAUCASUS OJSC,组织,US-SSI,制裁,别名: OPEN JOINT-STOCK COMPANY NORTH CAUCASUS DEVELOPMENT CORPORATION; OJSC NORTH CAUCASUS DEVELOPMENT CORPORATION; OTKRYTOE AKTSIONERNOE OBSHCHESTVO KORPORATSIYA RAZVITIYA SEVERNOGO KAVKAZA,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18270,us_ofac_cons,2026-06-19
EXIMBANK OF RUSSIA JSC,组织,US-SSI,制裁,别名: STATE SPECIALIZED RUSSIAN EXPORT-IMPORT BANK JOINT-STOCK COMPANY; GOSUDARSTVENNY SPETSIALIZIROVANNY ROSSISKI EKSPORTNO-IMPORTNY BANK (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO); Eximbank of Russia ZAO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18268,us_ofac_cons,2026-06-19
"TD AGROTORG, OOO",组织,US-SSI,制裁,别名: TRADING COMPANY 'AGROTORG' LTD.; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'TORGOVY' DOM 'AGROTORG',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20621,us_ofac_cons,2026-06-19
"TRANSNEFT-METROLOGIYA, AO",组织,US-SSI,制裁,别名: AKTSIONERNOE OBSHCHESTVO 'TRANSNEFTMETROLOGIYA'; CJSC 'CENTRE MO'; CLOSED JOINT-STOCK COMPANY 'CENTRE OF METROLOGICAL PROVISION',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22401,us_ofac_cons,2026-06-19
AKTSIONERNOE OBSHCHESTVO NAUCHNO-PROIZVODSTVENNOE OBEDINENIE OPTIKA,组织,US-SSI,制裁,"别名: OPEN JOINT STOCK COMPANY NAUCHNO-PROIZVODSTVENNOYE OBYEDINENIYE OPTIKA; NPO OPTIKA, AO; FEDERAL STATE UNITARY ENTERPRISE SCIENTIFIC AND PRODUCTION ASSOCIATION OPTIKA",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18808,us_ofac_cons,2026-06-19
"MALOROSSISKI ELEVATOR, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'MALOROSSISKI ELEVATOR'; OPEN JOINT STOCK COMPANY 'MALOROSSIYSKIY ELEVATOR',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20669,us_ofac_cons,2026-06-19
"RASSVET, OAO",组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO 'RASSVET'; OAO 'RASSVET'; OPEN JOINT STOCK COMPANY 'RASSVET',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20640,us_ofac_cons,2026-06-19
"TRANSNEFT-URAL, AO",组织,US-SSI,制裁,别名: OPEN JOINT-STOCK COMPANY 'CHERNYAEV URAL-SIBERIAN OIL TRUNK PIPELINES'; AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT - URAL'; JSC 'URALSIBNEFTEPROVOD',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22389,us_ofac_cons,2026-06-19
LENGIPRONEFTEKHIM OOO,组织,US-SSI,制裁,"别名: Limited Liability Company Design And Engineering Institute For Oil Refining And Petrochemical Enterprises; LIMITED LIABILITY COMPANY OIL REFINING AND PETROCHEMICAL FACILITIES DESIGN INSTITUTE; INSTITUT PO PROEKTIROVANIYU PREDPRIYATY NEFTEPERERABATYVAYUSCHEY I NEFTEKHIMICHESKOY PROMYSHLENNOSTI, LIMITED LIABILITY COMPANY",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=23552,us_ofac_cons,2026-06-19
ROSE GROUP LIMITED,组织,US-SSI,制裁,,ru; gg,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18289,us_ofac_cons,2026-06-19
NEFT-AKTIV LLC,组织,US-SSI,制裁,别名: OOO NEFT-AKTIV; RN-AKTIV OOO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18297,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO NOVOVYATSKI MEKHANICHESKI ZAVOD,组织,US-SSI,制裁,别名: OPEN JOINT-STOCK COMPANY NOVOVYATSKIY MEKHANICHESKIY ZAVOD; OPEN JOINT STOCK COMPANY NOVOVYATSK MECHANICAL PLANT; NOVOVYATSKI MEKHANICHESKI ZAVOD OAO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18812,us_ofac_cons,2026-06-19
ROSNEFT FINANCE S.A.,组织,US-SSI,制裁,,lu,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18301,us_ofac_cons,2026-06-19
"AGROKREDIT-INFORM, AO",组织,US-SSI,制裁,别名: CLOSED JOINT-STOCK COMPANY 'AGROCREDIT-INFORM'; AKTSIONERNOE OBSHCHESTVO 'AGROKREDIT-INFORM',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20660,us_ofac_cons,2026-06-19
OJSC RUSSIAN REGIONAL DEVELOPMENT BANK,组织,US-SSI,制裁,别名: RUSSIAN REGIONAL DEVELOPMENT BANK,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18298,us_ofac_cons,2026-06-19
"GAZPROM TRANSGAZ KRASNODAR, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM TRANSGAZ KRASNODAR'; GAZPROM TRANSGAZ KRASNODAR,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19643,us_ofac_cons,2026-06-19
VTB REGISTRAR CLOSED JOINT STOCK COMPANY,Company,US-SSI,制裁,别名: Joint Stock Company VTB Registrar; VTB Registrar CJSC; VTB REGISTRAR,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18737,us_ofac_cons,2026-06-19
Mohammed Saleh TUTAH,个人,US-NS-PLC,制裁,别名: Mohammad Omran Saleh TAWTAH; Muhamed Umran Salih TAWTA,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9694,us_ofac_cons,2026-06-19
BANK OF KUNLUN CO LTD,组织,US-CAPTA,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=15268,us_ofac_cons,2026-06-19
OBIEDINENNAYA PROMYSHLENNAYA KORPORATSIYA OBORONPROM OAO,组织,US-SSI,制裁,别名: OPK OBORONPROM OAO; UNITED INDUSTRIAL CORPORATION OBORONPROM OJSC; UNITED INDUSTRIAL DEFENCE CORPORATION OBORONPROM,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18781,us_ofac_cons,2026-06-19
China Electronics Technology Group Corporation,组织,US-NS-CMIC,制裁,,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30936,us_ofac_cons,2026-06-19
Proven Glory Capital Limited,组织,US-NS-CMIC,制裁,别名: Proven Glory,vg,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=32089,us_ofac_cons,2026-06-19
90 EKSPERIMENTALNY ZAVOD OAO,组织,US-SSI,制裁,别名: 90 EXPERIMENTAL PLANT OPEN JOINT STOCK COMPANY; OPEN JOINT-STOCK COMPANY 90 EKSPERIMENTALNIY ZAVOD,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18792,us_ofac_cons,2026-06-19
"BM PROEKT, OOO",组织,US-SSI,制裁,别名: LIMITED LIABILITY COMPANY 'BM PROYEKT'; BM PROJECT LLC; OOO BM PROECKT,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19990,us_ofac_cons,2026-06-19
Khaled ABU TOS,个人,US-NS-PLC,制裁,别名: Khalid Hamad Hamid ABU QOUS,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9697,us_ofac_cons,2026-06-19
GLOBEXBANK,组织,US-SSI,制裁,"别名: AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS; GLOBEKSBANK, AO; GLOBEX COMMERCIAL BANK, JOINT STOCK COMPANY",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18277,us_ofac_cons,2026-06-19
Yasser Daoud MANSOUR,个人,US-NS-PLC,制裁,,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9643,us_ofac_cons,2026-06-19
OTKRYTOE AKTSIONERNOE OBSHCHESTVO TEKHNOLOGII BEZOPASNOSTI,组织,US-SSI,制裁,"别名: JOINT STOCK COMPANY SECURITY TECHNOLOGIES; TEKHNOLOGII BEZOPASNOSTI, OAO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18786,us_ofac_cons,2026-06-19
"GAZPROM DOBYCHA URENGOI, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM DOBYCHA URENGOI'; GAZPROM DOBYCHA URENGOY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19677,us_ofac_cons,2026-06-19
Mariam Mohammed FARHAT,个人,US-NS-PLC,制裁,,ps,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9660,us_ofac_cons,2026-06-19
KORUS CONSULTING CIS LIMITED LIABILITY COMPANY,组织,US-SSI,制裁,"别名: LLL KORUS CONSULTING CIS; KORUS KONSALTING SNG, OOO; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU KORUS KONSALTING SNG",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18752,us_ofac_cons,2026-06-19
GPB-MORTGAGE JSC,组织,US-SSI,制裁,"别名: GPB-IPOTEKA OAO, AB; JOINT-STOCK BANK GPB-MORTGAGE CLOSED JOINT STOCK COMPANY",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20303,us_ofac_cons,2026-06-19
VEB LEASING OJSC,组织,US-SSI,制裁,别名: OTKRYTOE AKTSIONERNOE OBSHCHESTVO VEB LIZING; OAO VEB LIZING; OPEN JOINT STOCK COMPANY VEB LEASING,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18288,us_ofac_cons,2026-06-19
AKTSIONERNOE OBSHCHESTVO SG-DEVELOPMENT,组织,US-SSI,制裁,"别名: SG-Development, AO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18740,us_ofac_cons,2026-06-19
LIMITED LIABILITY COMPANY SBERBANK INVESTMENTS,组织,US-SSI,制裁,别名: SBERBANK INVESTMENTS LLC; SBERBANK INVESTMENTS OOO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18708,us_ofac_cons,2026-06-19
RUST CLOSED JOINT-STOCK COMPANY,组织,US-SSI,制裁,别名: RUST ZAO; JSC RUSTE; RUST ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18742,us_ofac_cons,2026-06-19
"GAZPROM DOBYCHA KUZNETSK, OOO",组织,US-SSI,制裁,别名: GAZPROM DOBYCHA KUZNETSK; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'GAZPROM DOBYCHA KUZNETSK',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19631,us_ofac_cons,2026-06-19
"Novatek-UST-LUGA, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'NOVATEK-UST-LUGA'; OOO 'NOVATEK-UST-LUGA',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20675,us_ofac_cons,2026-06-19
SB INTERNATIONAL SARL,组织,US-SSI,制裁,,lu,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18718,us_ofac_cons,2026-06-19
Khaled Tafish THWEIB,个人,US-NS-PLC,制裁,别名: Khaled Ibrahim Tafish THOUAIB; Khaled Tafesh DWEIB,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9686,us_ofac_cons,2026-06-19
JOINT STOCK COMPANY SBERBANK,组织,US-SSI,制裁,别名: SBERBANK OF RUSSIA SUBSIDIARY BANK PUBLIC JOINT STOCK COMPANY; PUBLICHNE AKTSIONERNE TOVARYSTVO DOCHIRNII BANK SBERBANKU ROSII; JSC SBERBANK OF RUSSIA,ua,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18715,us_ofac_cons,2026-06-19
OJSC KUYBYSHEV REFINERY,组织,US-SSI,制裁,别名: KUIBYSHEV REFINERY; OJSC KUIBYSHEV REFINERY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18294,us_ofac_cons,2026-06-19
STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK,Company,US-SSI,制裁,别名: ВЭБ.РФ; GOSUDARSTVENNAYA KORPORATSIYA RAZVITIYA VEB.RF; ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ РАЗВИТИЯ ВЭБ.РФ,cn; in; ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=17015,us_ofac_cons,2026-06-19
Hamid Jabir KHUDAIR,个人,US-NS-PLC,制裁,别名: Hamid Sulieman Jabir KHUDAIR,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9678,us_ofac_cons,2026-06-19
Younes AL-ASTAL,个人,US-NS-PLC,制裁,别名: Younis Mohe-eldeen Fayez EL-ASTAL,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9700,us_ofac_cons,2026-06-19
Mohammed SHIHAB,个人,US-NS-PLC,制裁,别名: Mohamed Abed Hadi Rahman SHEHAB,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9712,us_ofac_cons,2026-06-19
"YARGEO, OOO",组织,US-SSI,制裁,别名: OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU 'YARGEO'; OOO YARGEO,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=20687,us_ofac_cons,2026-06-19
"TRANSNEFT-SEVER, AO",组织,US-SSI,制裁,别名: OPEN JOINT-STOCK COMPANY 'NORTH OIL TRUNK PIPELINES'; AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT - SEVER',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22396,us_ofac_cons,2026-06-19
АО НПО Высокоточные Комплексы,组织,US-SSI,制裁,"别名: High Precision Weapons Joint Stock Company Scientific Production Association; JSC NPO Vysokotochnye Kompleksy; NPO Vysokotochnye Kompleksy, AO",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18769,us_ofac_cons,2026-06-19
"CHERNOMORTRANSNEFT, AO",组织,US-SSI,制裁,别名: JSC 'CHERNOMORTRANSNEFT'; AKTSIONERNOE OBSHCHESTVO 'CHERNOMORSKIE MAGISTRALNYE NEFTEPROVODY'; OPEN JOINT-STOCK COMPANY 'BLACK SEA OIL TRUNK PIPELINES',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22393,us_ofac_cons,2026-06-19
China Communications Construction Co. Ltd,组织,US-NS-CMIC,制裁,别名: China Communications Construction Company Ltd; China Communications Constr Co Ltd; China Communications Construction Co Ltd,cn,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=30930,us_ofac_cons,2026-06-19
"YAMALGAZINVEST, ZAO",组织,US-SSI,制裁,别名: YAMALGAZINVEST; ZAKRYTOE AKTSIONERNOE OBSHCHESTVO 'YAMALGAZINVEST',ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19676,us_ofac_cons,2026-06-19
Mahmoud MUSLEH,个人,US-NS-PLC,制裁,别名: Mahmoud Ibrahim Mahmoud MUSLEH,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9684,us_ofac_cons,2026-06-19
"TRANSNEFT-SIBIR, AO",组织,US-SSI,制裁,"别名: JSC SIBNEFTEPROVOD; TRANSNEFT SIBIRIA, JSC; AKTSIONERNOE OBSHCHESTVO 'TRANSNEFT - SIBIR'",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=22386,us_ofac_cons,2026-06-19
BM HOLDING AG,组织,US-SSI,制裁,别名: BM HOLDING SA; BM HOLDING LTD,ch,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=19993,us_ofac_cons,2026-06-19
Mohammed ABU JHEISHEH,个人,US-NS-PLC,制裁,别名: Mohammad Mutlaq ABU JHESHEH; Mohammed ABU JEHEISHA,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9673,us_ofac_cons,2026-06-19
RUSSIAN DIRECT INVESTMENT FUND MANAGEMENT COMPANY,组织,US-SSI,制裁,"别名: RDIF MANAGEMENT COMPANY LLC; UK RFPI, OOO; OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU UPRAVLYAYUSHCHAYA KOMPANIYA RFPI",ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18279,us_ofac_cons,2026-06-19
AKTSIONERNOE OBSHCHESTVO RT-AVTO,组织,US-SSI,制裁,别名: RT-AVTO OJSC; RT-AUTO OPEN JOINT STOCK COMPANY,ru,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=18778,us_ofac_cons,2026-06-19
Ahmad ATTOUN,个人,US-NS-PLC,制裁,别名: Ahmad Mohammad Ahmad ATTOUN; Ahmed Muhamad Ahmed ATOON,,https://sanctionssearch.ofac.treas.gov/Details.aspx?id=9692,us_ofac_cons,2026-06-19
