实体名称,实体类型,制裁项目,依据法规,制裁原因,国家,来源,数据源,同步日期
Dr Seyyed Mohammad HOSSEINI,个人,EU-IRN,制裁,别名: Dr Seyyed Mohammad HOSSEYNI; Dr Sayyid Mohammad HOSSEYNI; Dr Sayyed Mohammad HOSSEYNI,ir,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1736,eu_sanctions,2026-06-19
Valerij Petrovitj USATIUK,个人,EU-UKR,制裁,别名: Валерий Петрович УСАТЮК,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4345,eu_sanctions,2026-06-19
Mohammad MOGHISSEH,个人,EU-IRN,制裁,别名: NASSERIAN,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1739,eu_sanctions,2026-06-19
José Bernabé GUTIÉRREZ PARRA,个人,EU-VEN,制裁,,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3480,eu_sanctions,2026-06-19
علی فضلی,个人,EU-IRN,制裁,别名: علی فضلی,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1614,eu_sanctions,2026-06-19
Арсен Баширович КАНОКОВ,个人,EU-UKR,制裁,,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R2476,eu_sanctions,2026-06-19
Hussein Mahmoud FARZAT,个人,EU-SYR,制裁,别名: Hussein Mahmud Farzat; Hussain Mahmoud Farzat,sy,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401517,eu_sanctions,2026-06-19
Ahmad Vahid Dastjerdi,个人,EU-IRN; UN-SC1737,制裁,别名: احمد وحید دستجردی,ir,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1617,eu_sanctions,2026-06-19
Sayyid Mostafa Agha MIRSALIM,个人,EU-IRN,制裁,别名: MIRSALIM Sayyid Mostafa Agha; MIR-SALIM Mostafa,ir,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=6364,eu_sanctions,2026-06-19
Mohamed Saleh JOKAR,个人,EU-IRN,制裁,别名: Mohamed Saleh JOKAR; محمد صالح جوکار,ir,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401033,eu_sanctions,2026-06-19
Abdul Hossein KHOSROW PANAH,个人,EU-IRN,制裁,别名: KHOSROW PANAH Abdul Hossein; KHOSROPANAH Abdolhossein,ir,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R0645,eu_sanctions,2026-06-19
Ali-Akbar HEYDARIFAR,个人,EU-IRN,制裁,,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1555,eu_sanctions,2026-06-19
Azizollah RAJABZADEH,个人,EU-IRN,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.125.01.0001.01.ENG&toc=OJ%3AL%3A2021%3A125%3ATOC,eu_sanctions,2026-06-19
Abdolghassem SALAVATI,个人,EU-IRN,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32023R0721,eu_sanctions,2026-06-19
Ibrahim Haqqani,个人,EU-AFG; UN-SC1988,制裁,别名: Ibrahim Haqqani; Алхадж М. Ибрахим Омари,af,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R0404&from=EN,eu_sanctions,2026-06-19
Idrissa DJALÓ (a.k.a.: Idriça Djaló),个人,EU-GNB,制裁,,,,eu_sanctions,2026-06-19
Rami MAKHLOUF,个人,EU-SYR,制裁,别名: Rámí MACHLÚF,sy,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=2148,eu_sanctions,2026-06-19
Иван Иванович КВИТКА,个人,EU-UKR,制裁,别名: Ivan Ivanovitj KVITKA,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4057,eu_sanctions,2026-06-19
Imad Mohammad Deeb KHAMIS,个人,EU-SYR,制裁,别名: Imad Mohammed Deeb Khamis; Imad Mohamed Deeb Khamis; Imad Mohammad Dib Khamees,sy,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=2128,eu_sanctions,2026-06-19
Salim Benghalem,个人,EU-TAQA-EUAQ; UN-SCISIL,制裁,,fr; sy,http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0307&from=EN,eu_sanctions,2026-06-19
Наталья Васильевна КОСТЕНКО,个人,EU-UKR,制裁,别名: Natalja Vasiljevna KOSTENKO,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4077,eu_sanctions,2026-06-19
Андрей Олегович ШИПИЦИН,个人,EU-UKR,制裁,,ru,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.298.01.0001.01.ENG&toc=OJ:L:2020:298:TOC,eu_sanctions,2026-06-19
Заур Далхатович ГЕККИЕВ,个人,EU-UKR,制裁,别名: Zaur Dalchatovitj GEKKIJEV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4110,eu_sanctions,2026-06-19
Георгий Александрович КАРЛОВ,个人,EU-UKR,制裁,别名: Georgij Aleksandrovitj KARLOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3875,eu_sanctions,2026-06-19
Boris Michajlovitj GLADKICH,个人,EU-UKR,制裁,别名: Boris Michajlovitj GLADKICH,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4116,eu_sanctions,2026-06-19
Alexei Fedorovich Lavrinenko,个人,EU-UKR,制裁,别名: Aleksej Fjodorovitj LAVRINENKO,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3963,eu_sanctions,2026-06-19
Rahim Azizboevich Asimov,个人,EU-UKR,制裁,别名: Rachim Azizbojevitj AZIMOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4004,eu_sanctions,2026-06-19
Эрнест Абдулович ВАЛЕЕВ,个人,EU-UKR,制裁,别名: Ernest Abdulovitj VALEJEV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4059,eu_sanctions,2026-06-19
Aleksandr Nikolaevich Kozlovskiy,个人,EU-UKR,制裁,别名: Aleksandr Nikolajevitj KOZLOVSKIJ,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4069,eu_sanctions,2026-06-19
Michail Vladimirovitj KUZMIN,个人,EU-UKR,制裁,别名: Michail Vladimirovitj KUZMIN,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3945,eu_sanctions,2026-06-19
Alexei Kanayev,个人,EU-UKR,制裁,别名: Aleksej Valerianovitj KANAJEV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3873,eu_sanctions,2026-06-19
Андрей Павлович МАРКОВ,个人,EU-UKR,制裁,别名: Andrej Pavlovitj MARKOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4143,eu_sanctions,2026-06-19
Viktor Alexeyevich KAZAKOV,个人,EU-UKR,制裁,别名: Viktor Aleksejevitj KAZAKOV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3869,eu_sanctions,2026-06-19
Александр Геннадьевич ВЫСОКИНСКИЙ,个人,EU-UKR,制裁,别名: Aleksandr Gennadjevitj VYSOKINSKIJ,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4342,eu_sanctions,2026-06-19
Евгений Евгеньевич Марченко,个人,EU-UKR,制裁,别名: Jevgenij Jevgenjevitj MARTJENKO,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.053.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A053%3ATOC,eu_sanctions,2026-06-19
Achmed Sjamchanovitj DOGAJEV,个人,EU-UKR,制裁,别名: Achmed Sjamchanovitj DOGAJEV,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4101,eu_sanctions,2026-06-19
Alexander Vladimirovich Yakubovsky,个人,EU-UKR,制裁,别名: Aleksandr Vladimirovitj JAKUBOVSKIJ,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3983,eu_sanctions,2026-06-19
Natalya Vasilevna Nazarova,个人,EU-UKR,制裁,别名: Natalja Vasiljevna NAZAROVA,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1529,eu_sanctions,2026-06-19
Леонид Анатольевич ОГУЛЬ,个人,EU-UKR,制裁,别名: Leonid Anatoljevitj OGUL,,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=4136,eu_sanctions,2026-06-19
Bishr Riyad YAZIGI,个人,EU-SYR,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401517,eu_sanctions,2026-06-19
Hussein Arnus,个人,EU-SYR,制裁,别名: Arnus; حسين عرنوس,sy,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=1727,eu_sanctions,2026-06-19
عاطف نداف,个人,EU-SYR,制裁,,sy,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=2274,eu_sanctions,2026-06-19
Hussein MAKHLOUF,个人,EU-SYR,制裁,别名: Hussein Makhluf,sy,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401517,eu_sanctions,2026-06-19
Néstor Luis REVEROL TORRES,个人,EU-VEN,制裁,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ:L_202500042,eu_sanctions,2026-06-19
Mullah Amir Khan Motaqi,个人,EU-AFG; UN-SC1988; EU-TAQA-EUAQ; UN-SCISIL,制裁,别名: Молла Амир Хан Мотаки; Amir Khan Muttaqi,af,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=3091,eu_sanctions,2026-06-19
عماد عبدالله سارة,个人,EU-SYR,制裁,,sy,https://gels-avoirs.dgtresor.gouv.fr/Gels/RegistreDetail?idRegistre=2357,eu_sanctions,2026-06-19
Ali AL-ZAFIR,个人,EU-SYR,制裁,,sy,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L_202401517,eu_sanctions,2026-06-19
